"Fromid","relationship_type","toid"
"0","Control","502"
"0","Control","509"
"0","Control","520"
"0","Control","524"
"0","Control","535"
"0","Control","537"
"0","Control","548"
"0","Control","557"
"0","Control","558"
"0","Control","573"
"0","Control","576"
"0","Control","578"
"0","Control","584"
"0","Control","588"
"0","Control","608"
"0","Control","609"
"0","Control","615"
"0","Control","629"
"0","Control","632"
"0","Control","633"
"0","Control","645"
"0","Control","649"
"0","Control","661"
"0","Control","680"
"0","Control","690"
"0","Control","692"
"0","Control","704"
"0","Control","729"
"0","Control","733"
"0","Control","745"
"0","Control","749"
"0","Control","766"
"0","Control","770"
"0","Control","777"
"0","Control","796"
"0","Control","818"
"0","Control","827"
"0","Control","830"
"0","Control","833"
"0","Control","840"
"0","Control","871"
"0","Control","904"
"0","Control","906"
"0","Control","934"
"0","Control","959"
"0","Control","961"
"0","Control","970"
"0","Control","972"
"0","Control","999"
"0","Control","1001"
"0","Control","1002"
"0","Control","1014"
"0","Control","1015"
"0","Control","1028"
"0","Control","1030"
"0","Control","1031"
"0","Control","1041"
"0","Control","1046"
"0","Control","1062"
"0","Control","1091"
"0","Control","1097"
"0","Control","1107"
"0","Control","1134"
"0","Control","1143"
"0","Control","1147"
"0","Control","1153"
"0","Control","1154"
"0","Control","1159"
"0","Control","1173"
"0","Control","1174"
"0","Control","1177"
"0","Control","1182"
"0","Control","1223"
"0","Control","1226"
"0","Control","1240"
"0","Control","1244"
"0","Control","1252"
"0","Control","1277"
"0","Control","1289"
"0","Control","1294"
"0","Control","1300"
"0","Control","1314"
"0","Control","1322"
"0","Control","1338"
"0","Control","1341"
"0","Control","1345"
"0","Control","1347"
"0","Control","1348"
"0","Control","1364"
"0","Control","1367"
"0","Control","1379"
"0","Control","1382"
"0","Control","1387"
"0","Control","1409"
"0","Control","1414"
"0","Control","1417"
"0","Control","1420"
"0","Control","1437"
"0","Control","1442"
"0","Control","1448"
"0","Control","1493"
"0","Control","1530"
"0","Control","1532"
"0","Control","1546"
"0","Control","1554"
"0","Control","1574"
"0","Control","1579"
"0","Control","1591"
"0","Control","1595"
"0","Control","1596"
"0","Control","1600"
"0","Control","1609"
"0","Control","1617"
"0","Control","1624"
"0","Control","1625"
"0","Control","1666"
"0","Control","1682"
"0","Control","1685"
"0","Control","1717"
"0","Control","1732"
"0","Control","1737"
"0","Control","1766"
"0","Control","1835"
"0","Control","1844"
"0","Control","1848"
"0","Control","1873"
"0","Control","1878"
"0","Control","1880"
"0","Control","1886"
"0","Control","1906"
"0","Control","1908"
"0","Control","1909"
"0","Control","1920"
"0","Control","1921"
"0","Control","1950"
"0","Control","2003"
"0","Control","2005"
"0","Control","2028"
"0","Control","2045"
"0","Control","2047"
"0","Control","2079"
"0","Control","2088"
"0","Control","2106"
"0","Control","2118"
"0","Control","2137"
"0","Control","2142"
"0","Control","2146"
"0","Control","2151"
"0","Control","2157"
"0","Control","2160"
"0","Control","2176"
"0","Control","2178"
"0","Control","2179"
"0","Control","2192"
"0","Control","2218"
"0","Control","2266"
"0","Control","2351"
"0","Control","2367"
"0","Control","2414"
"0","Control","2423"
"0","Control","2436"
"0","Control","2452"
"0","Control","2463"
"0","Control","2464"
"0","Control","2468"
"0","Control","2470"
"0","Control","2477"
"0","Control","2478"
"0","Control","2503"
"0","Control","2517"
"0","Control","2521"
"0","Control","2522"
"0","Control","2526"
"0","Control","2529"
"0","Control","2536"
"0","Control","2542"
"0","Control","2598"
"0","Control","2612"
"0","Control","2615"
"0","Control","2635"
"0","Control","2637"
"0","Control","2641"
"0","Control","2644"
"0","Control","2652"
"0","Control","2670"
"0","Control","2686"
"0","Control","2701"
"0","Control","2703"
"0","Control","2712"
"0","Control","2721"
"0","Control","2732"
"0","Control","2758"
"0","Control","2793"
"0","Control","2811"
"0","Control","2814"
"0","Control","2815"
"0","Control","2834"
"0","Control","2843"
"0","Control","2854"
"0","Control","2883"
"0","Control","2905"
"0","Control","2920"
"0","Control","2921"
"0","Control","2931"
"0","Control","2934"
"0","Control","2937"
"0","Control","2983"
"0","Control","3004"
"0","Control","3098"
"0","Control","3113"
"0","Control","3120"
"0","Control","3122"
"0","Control","3130"
"0","Control","3135"
"0","Control","3154"
"0","Control","3186"
"0","Control","3276"
"0","Control","3322"
"0","Control","3335"
"0","Control","3347"
"0","Control","3354"
"0","Control","3371"
"0","Control","3376"
"0","Control","3415"
"0","Control","3418"
"0","Control","3435"
"0","Control","3466"
"0","Control","3467"
"0","Control","3476"
"0","Control","3537"
"0","Control","3589"
"0","Control","3602"
"0","Control","3611"
"0","Control","3641"
"0","Control","3652"
"0","Control","3659"
"0","Control","3686"
"0","Control","3715"
"0","Control","3765"
"0","Control","3776"
"0","Control","3863"
"0","Control","3887"
"0","Control","3889"
"0","Control","3903"
"0","Control","3911"
"0","Control","3912"
"0","Control","3922"
"0","Control","3929"
"0","Control","3930"
"0","Control","3942"
"0","Control","3953"
"0","Control","4107"
"0","Control","4118"
"0","Control","4126"
"0","Control","4167"
"0","Control","4255"
"0","Control","4275"
"0","Control","4305"
"0","Control","4339"
"0","Control","4361"
"0","Control","4365"
"0","Control","4394"
"0","Control","4405"
"0","Control","4425"
"0","Control","4433"
"0","Control","4478"
"0","Control","4517"
"0","Control","4542"
"0","Control","4547"
"0","Control","4657"
"0","Control","4660"
"0","Control","4675"
"0","Control","4691"
"0","Control","4715"
"0","Control","4750"
"0","Control","4762"
"0","Control","4769"
"0","Control","4823"
"0","Control","4852"
"0","Control","4855"
"0","Control","4871"
"0","Control","4880"
"0","Control","4898"
"0","Control","4906"
"0","Control","5033"
"0","Control","5039"
"0","Control","5061"
"0","Control","5081"
"0","Control","5082"
"0","Control","5087"
"0","Control","5093"
"0","Control","5094"
"0","Control","5095"
"0","Control","5129"
"0","Control","5131"
"0","Control","5296"
"0","Control","5319"
"0","Control","5355"
"0","Control","5398"
"0","Control","5418"
"0","Control","5475"
"0","Control","5491"
"0","Control","5497"
"0","Control","5498"
"0","Control","5501"
"0","Control","5596"
"0","Control","5597"
"0","Control","5635"
"0","Control","5660"
"0","Control","5661"
"0","Control","5693"
"0","Control","5701"
"0","Control","5708"
"0","Control","5816"
"0","Control","5818"
"0","Control","5834"
"0","Control","5851"
"0","Control","5870"
"0","Control","5902"
"0","Control","5956"
"0","Control","5971"
"0","Control","6002"
"0","Control","6018"
"0","Control","6078"
"0","Control","6083"
"0","Control","6132"
"0","Control","6163"
"0","Control","6167"
"0","Control","6224"
"0","Control","6275"
"0","Control","6340"
"0","Control","6352"
"0","Control","6354"
"0","Control","6364"
"0","Control","6406"
"0","Control","6432"
"0","Control","6449"
"0","Control","6461"
"0","Control","6492"
"0","Control","6503"
"0","Control","6580"
"0","Control","6598"
"0","Control","6615"
"0","Control","6662"
"0","Control","6667"
"0","Control","6681"
"0","Control","6687"
"0","Control","6694"
"0","Control","6709"
"0","Control","6738"
"0","Control","6757"
"0","Control","6885"
"0","Control","6984"
"0","Control","6992"
"0","Control","7016"
"0","Control","7245"
"0","Control","7326"
"0","Control","7345"
"0","Control","7365"
"0","Control","7375"
"0","Control","7376"
"0","Control","7478"
"0","Control","7484"
"0","Control","7521"
"0","Control","7550"
"0","Control","7567"
"0","Control","7576"
"0","Control","7592"
"0","Control","7621"
"0","Control","7625"
"0","Control","7661"
"0","Control","7681"
"0","Control","7736"
"0","Control","7781"
"0","Control","7809"
"0","Control","7812"
"0","Control","7819"
"0","Control","7869"
"0","Control","7880"
"0","Control","7910"
"0","Control","7973"
"0","Control","8000"
"0","Control","8066"
"0","Control","8084"
"0","Control","8166"
"0","Control","8193"
"0","Control","8219"
"0","Control","8230"
"0","Control","8236"
"0","Control","8433"
"0","Control","8529"
"0","Control","8696"
"0","Control","8780"
"0","Control","8804"
"0","Control","8810"
"0","Control","8925"
"0","Control","8955"
"0","Control","8976"
"0","Control","9007"
"0","Control","9076"
"0","Control","9078"
"0","Control","9165"
"0","Control","9192"
"0","Control","9196"
"0","Control","9254"
"0","Control","9357"
"0","Control","9449"
"0","Control","9487"
"0","Control","9512"
"0","Control","9567"
"0","Control","9575"
"0","Control","9620"
"0","Control","9717"
"0","Control","9741"
"0","Control","9824"
"0","Control","9884"
"0","Control","9892"
"0","Control","9908"
"0","Control","9939"
"0","Control","9967"
"0","Control","9972"
"0","Control","10005"
"0","Control","10097"
"0","Control","10132"
"0","Control","10168"
"0","Control","10178"
"0","Control","10280"
"0","Control","10301"
"0","Control","10305"
"0","Control","10335"
"0","Control","10336"
"0","Control","10337"
"0","Control","10353"
"0","Control","10428"
"0","Control","10460"
"0","Control","10536"
"0","Control","10562"
"0","Control","10564"
"0","Control","10582"
"0","Control","10587"
"0","Control","10600"
"0","Control","10621"
"0","Control","10711"
"0","Control","10731"
"0","Control","10766"
"0","Control","10863"
"0","Control","10880"
"0","Control","10998"
"0","Control","11033"
"0","Control","11142"
"0","Control","11145"
"0","Control","11147"
"0","Control","11225"
"0","Control","11236"
"0","Control","11308"
"0","Control","11382"
"0","Control","11397"
"0","Control","11408"
"0","Control","11434"
"0","Control","11458"
"0","Control","11466"
"0","Control","11484"
"0","Control","11703"
"0","Control","11755"
"0","Control","11902"
"0","Control","12015"
"0","Control","12042"
"0","Control","12072"
"0","Control","12107"
"0","Control","12171"
"0","Control","12190"
"0","Control","12224"
"0","Control","12261"
"0","Control","12303"
"0","Control","12307"
"0","Control","12318"
"0","Control","12321"
"0","Control","12381"
"0","Control","12543"
"0","Control","12550"
"0","Control","12580"
"0","Control","12603"
"0","Control","12692"
"0","Control","12723"
"0","Control","12879"
"0","Control","12946"
"0","Control","12966"
"0","Control","13021"
"0","Control","13059"
"0","Control","13075"
"0","Control","13118"
"0","Control","13122"
"0","Control","13157"
"0","Control","13267"
"0","Control","13277"
"0","Control","13323"
"0","Control","13353"
"0","Control","13426"
"0","Control","13471"
"0","Control","13490"
"0","Control","13506"
"0","Control","13508"
"0","Control","13539"
"0","Decrease","11"
"0","Decrease","19"
"0","Decrease","21"
"0","Decrease","537"
"0","Decrease","548"
"0","Decrease","1143"
"0","Decrease","1766"
"0","Decrease","2040"
"0","Decrease","4494"
"0","Decrease","4880"
"0","Decrease","5304"
"0","Decrease","7454"
"0","Decrease","10428"
"0","Decrease","12318"
"0","Decrease","12550"
"0","Has","0"
"0","Has","1"
"0","Has","2"
"0","Has","3"
"0","Has","6"
"0","Has","7"
"0","Has","10"
"0","Has","12"
"0","Has","13"
"0","Has","15"
"0","Has","17"
"0","Has","19"
"0","Has","21"
"0","Has","22"
"0","Has","23"
"0","Has","25"
"0","Has","26"
"0","Has","27"
"0","Has","28"
"0","Has","31"
"0","Has","32"
"0","Has","33"
"0","Has","41"
"0","Has","43"
"0","Has","46"
"0","Has","50"
"0","Has","52"
"0","Has","54"
"0","Has","56"
"0","Has","61"
"0","Has","65"
"0","Has","66"
"0","Has","67"
"0","Has","71"
"0","Has","72"
"0","Has","74"
"0","Has","97"
"0","Has","105"
"0","Has","111"
"0","Has","115"
"0","Has","116"
"0","Has","118"
"0","Has","141"
"0","Has","143"
"0","Has","149"
"0","Has","154"
"0","Has","165"
"0","Has","176"
"0","Has","181"
"0","Has","185"
"0","Has","209"
"0","Has","224"
"0","Has","230"
"0","Has","232"
"0","Has","237"
"0","Has","249"
"0","Has","258"
"0","Has","264"
"0","Has","270"
"0","Has","275"
"0","Has","282"
"0","Has","284"
"0","Has","285"
"0","Has","291"
"0","Has","300"
"0","Has","313"
"0","Has","318"
"0","Has","320"
"0","Has","331"
"0","Has","336"
"0","Has","348"
"0","Has","356"
"0","Has","370"
"0","Has","371"
"0","Has","374"
"0","Has","375"
"0","Has","380"
"0","Has","397"
"0","Has","414"
"0","Has","420"
"0","Has","422"
"0","Has","436"
"0","Has","447"
"0","Has","458"
"0","Has","459"
"0","Has","469"
"0","Has","476"
"0","Has","477"
"0","Has","483"
"0","Has","497"
"0","Has","502"
"0","Has","520"
"0","Has","522"
"0","Has","548"
"0","Has","557"
"0","Has","578"
"0","Has","587"
"0","Has","595"
"0","Has","629"
"0","Has","630"
"0","Has","633"
"0","Has","637"
"0","Has","639"
"0","Has","657"
"0","Has","679"
"0","Has","680"
"0","Has","690"
"0","Has","692"
"0","Has","698"
"0","Has","714"
"0","Has","729"
"0","Has","733"
"0","Has","749"
"0","Has","754"
"0","Has","762"
"0","Has","766"
"0","Has","780"
"0","Has","818"
"0","Has","830"
"0","Has","843"
"0","Has","904"
"0","Has","943"
"0","Has","952"
"0","Has","958"
"0","Has","970"
"0","Has","1009"
"0","Has","1010"
"0","Has","1030"
"0","Has","1041"
"0","Has","1046"
"0","Has","1086"
"0","Has","1111"
"0","Has","1125"
"0","Has","1164"
"0","Has","1167"
"0","Has","1168"
"0","Has","1177"
"0","Has","1178"
"0","Has","1194"
"0","Has","1209"
"0","Has","1226"
"0","Has","1288"
"0","Has","1293"
"0","Has","1357"
"0","Has","1385"
"0","Has","1389"
"0","Has","1394"
"0","Has","1420"
"0","Has","1435"
"0","Has","1437"
"0","Has","1517"
"0","Has","1518"
"0","Has","1542"
"0","Has","1554"
"0","Has","1556"
"0","Has","1565"
"0","Has","1570"
"0","Has","1578"
"0","Has","1596"
"0","Has","1606"
"0","Has","1682"
"0","Has","1697"
"0","Has","1737"
"0","Has","1766"
"0","Has","1771"
"0","Has","1802"
"0","Has","1804"
"0","Has","1844"
"0","Has","1870"
"0","Has","1886"
"0","Has","1921"
"0","Has","1950"
"0","Has","2003"
"0","Has","2028"
"0","Has","2034"
"0","Has","2114"
"0","Has","2174"
"0","Has","2176"
"0","Has","2213"
"0","Has","2218"
"0","Has","2266"
"0","Has","2304"
"0","Has","2310"
"0","Has","2316"
"0","Has","2328"
"0","Has","2356"
"0","Has","2452"
"0","Has","2468"
"0","Has","2478"
"0","Has","2521"
"0","Has","2575"
"0","Has","2612"
"0","Has","2637"
"0","Has","2644"
"0","Has","2670"
"0","Has","2686"
"0","Has","2715"
"0","Has","2732"
"0","Has","2911"
"0","Has","2917"
"0","Has","2920"
"0","Has","2931"
"0","Has","2994"
"0","Has","3004"
"0","Has","3098"
"0","Has","3122"
"0","Has","3275"
"0","Has","3322"
"0","Has","3347"
"0","Has","3362"
"0","Has","3369"
"0","Has","3372"
"0","Has","3425"
"0","Has","3482"
"0","Has","3499"
"0","Has","3552"
"0","Has","3555"
"0","Has","3603"
"0","Has","3686"
"0","Has","3823"
"0","Has","3841"
"0","Has","3873"
"0","Has","3874"
"0","Has","3911"
"0","Has","3942"
"0","Has","4028"
"0","Has","4102"
"0","Has","4118"
"0","Has","4126"
"0","Has","4127"
"0","Has","4262"
"0","Has","4280"
"0","Has","4292"
"0","Has","4394"
"0","Has","4587"
"0","Has","4603"
"0","Has","4707"
"0","Has","4769"
"0","Has","5033"
"0","Has","5082"
"0","Has","5095"
"0","Has","5104"
"0","Has","5233"
"0","Has","5241"
"0","Has","5268"
"0","Has","5301"
"0","Has","5304"
"0","Has","5451"
"0","Has","5475"
"0","Has","5488"
"0","Has","5491"
"0","Has","5501"
"0","Has","5512"
"0","Has","5631"
"0","Has","5660"
"0","Has","5694"
"0","Has","5708"
"0","Has","5834"
"0","Has","5843"
"0","Has","5851"
"0","Has","6002"
"0","Has","6052"
"0","Has","6078"
"0","Has","6148"
"0","Has","6352"
"0","Has","6396"
"0","Has","6494"
"0","Has","6683"
"0","Has","6753"
"0","Has","6875"
"0","Has","6942"
"0","Has","6964"
"0","Has","6984"
"0","Has","7136"
"0","Has","7162"
"0","Has","7171"
"0","Has","7212"
"0","Has","7285"
"0","Has","7315"
"0","Has","7326"
"0","Has","7484"
"0","Has","7486"
"0","Has","7507"
"0","Has","7514"
"0","Has","7562"
"0","Has","7734"
"0","Has","7789"
"0","Has","7797"
"0","Has","7800"
"0","Has","7805"
"0","Has","7819"
"0","Has","8000"
"0","Has","8218"
"0","Has","8276"
"0","Has","8380"
"0","Has","8412"
"0","Has","8529"
"0","Has","8714"
"0","Has","8740"
"0","Has","8743"
"0","Has","8766"
"0","Has","8824"
"0","Has","8994"
"0","Has","9138"
"0","Has","9196"
"0","Has","9233"
"0","Has","9267"
"0","Has","9389"
"0","Has","9492"
"0","Has","9553"
"0","Has","9620"
"0","Has","9803"
"0","Has","10178"
"0","Has","10280"
"0","Has","10301"
"0","Has","10409"
"0","Has","10428"
"0","Has","10460"
"0","Has","10536"
"0","Has","10587"
"0","Has","10731"
"0","Has","10804"
"0","Has","10833"
"0","Has","10998"
"0","Has","11033"
"0","Has","11145"
"0","Has","11394"
"0","Has","11397"
"0","Has","11484"
"0","Has","11558"
"0","Has","11572"
"0","Has","11661"
"0","Has","11736"
"0","Has","12025"
"0","Has","12207"
"0","Has","12208"
"0","Has","12247"
"0","Has","12307"
"0","Has","12865"
"0","Has","12903"
"0","Has","12946"
"0","Has","12954"
"0","Has","13225"
"0","Has","13267"
"0","Has","13321"
"0","Has","13379"
"0","Has","13383"
"0","Impact","0"
"0","Impact","1"
"0","Impact","2"
"0","Impact","3"
"0","Impact","4"
"0","Impact","6"
"0","Impact","7"
"0","Impact","9"
"0","Impact","10"
"0","Impact","11"
"0","Impact","13"
"0","Impact","15"
"0","Impact","17"
"0","Impact","19"
"0","Impact","20"
"0","Impact","21"
"0","Impact","22"
"0","Impact","23"
"0","Impact","24"
"0","Impact","25"
"0","Impact","27"
"0","Impact","28"
"0","Impact","29"
"0","Impact","31"
"0","Impact","32"
"0","Impact","33"
"0","Impact","35"
"0","Impact","36"
"0","Impact","41"
"0","Impact","43"
"0","Impact","44"
"0","Impact","49"
"0","Impact","50"
"0","Impact","52"
"0","Impact","54"
"0","Impact","56"
"0","Impact","63"
"0","Impact","64"
"0","Impact","65"
"0","Impact","66"
"0","Impact","67"
"0","Impact","71"
"0","Impact","72"
"0","Impact","73"
"0","Impact","74"
"0","Impact","76"
"0","Impact","78"
"0","Impact","85"
"0","Impact","89"
"0","Impact","91"
"0","Impact","93"
"0","Impact","97"
"0","Impact","98"
"0","Impact","105"
"0","Impact","108"
"0","Impact","111"
"0","Impact","116"
"0","Impact","120"
"0","Impact","132"
"0","Impact","140"
"0","Impact","143"
"0","Impact","146"
"0","Impact","151"
"0","Impact","155"
"0","Impact","157"
"0","Impact","159"
"0","Impact","161"
"0","Impact","175"
"0","Impact","176"
"0","Impact","177"
"0","Impact","178"
"0","Impact","179"
"0","Impact","194"
"0","Impact","197"
"0","Impact","198"
"0","Impact","209"
"0","Impact","211"
"0","Impact","215"
"0","Impact","224"
"0","Impact","237"
"0","Impact","239"
"0","Impact","241"
"0","Impact","254"
"0","Impact","270"
"0","Impact","281"
"0","Impact","282"
"0","Impact","286"
"0","Impact","291"
"0","Impact","310"
"0","Impact","313"
"0","Impact","322"
"0","Impact","324"
"0","Impact","350"
"0","Impact","352"
"0","Impact","354"
"0","Impact","370"
"0","Impact","371"
"0","Impact","375"
"0","Impact","376"
"0","Impact","395"
"0","Impact","425"
"0","Impact","437"
"0","Impact","442"
"0","Impact","444"
"0","Impact","453"
"0","Impact","456"
"0","Impact","472"
"0","Impact","483"
"0","Impact","495"
"0","Impact","497"
"0","Impact","502"
"0","Impact","509"
"0","Impact","520"
"0","Impact","522"
"0","Impact","537"
"0","Impact","538"
"0","Impact","548"
"0","Impact","551"
"0","Impact","559"
"0","Impact","567"
"0","Impact","576"
"0","Impact","578"
"0","Impact","581"
"0","Impact","582"
"0","Impact","583"
"0","Impact","584"
"0","Impact","595"
"0","Impact","608"
"0","Impact","612"
"0","Impact","613"
"0","Impact","629"
"0","Impact","630"
"0","Impact","632"
"0","Impact","634"
"0","Impact","639"
"0","Impact","649"
"0","Impact","651"
"0","Impact","671"
"0","Impact","672"
"0","Impact","680"
"0","Impact","690"
"0","Impact","692"
"0","Impact","705"
"0","Impact","714"
"0","Impact","720"
"0","Impact","732"
"0","Impact","754"
"0","Impact","755"
"0","Impact","766"
"0","Impact","769"
"0","Impact","790"
"0","Impact","796"
"0","Impact","797"
"0","Impact","833"
"0","Impact","839"
"0","Impact","843"
"0","Impact","866"
"0","Impact","867"
"0","Impact","874"
"0","Impact","883"
"0","Impact","888"
"0","Impact","906"
"0","Impact","921"
"0","Impact","932"
"0","Impact","940"
"0","Impact","949"
"0","Impact","954"
"0","Impact","959"
"0","Impact","961"
"0","Impact","995"
"0","Impact","999"
"0","Impact","1028"
"0","Impact","1084"
"0","Impact","1086"
"0","Impact","1094"
"0","Impact","1136"
"0","Impact","1143"
"0","Impact","1154"
"0","Impact","1167"
"0","Impact","1168"
"0","Impact","1182"
"0","Impact","1186"
"0","Impact","1189"
"0","Impact","1191"
"0","Impact","1194"
"0","Impact","1202"
"0","Impact","1209"
"0","Impact","1226"
"0","Impact","1236"
"0","Impact","1255"
"0","Impact","1288"
"0","Impact","1289"
"0","Impact","1297"
"0","Impact","1310"
"0","Impact","1322"
"0","Impact","1325"
"0","Impact","1331"
"0","Impact","1338"
"0","Impact","1346"
"0","Impact","1347"
"0","Impact","1351"
"0","Impact","1364"
"0","Impact","1367"
"0","Impact","1387"
"0","Impact","1397"
"0","Impact","1398"
"0","Impact","1417"
"0","Impact","1420"
"0","Impact","1448"
"0","Impact","1472"
"0","Impact","1507"
"0","Impact","1532"
"0","Impact","1538"
"0","Impact","1541"
"0","Impact","1553"
"0","Impact","1562"
"0","Impact","1607"
"0","Impact","1609"
"0","Impact","1610"
"0","Impact","1622"
"0","Impact","1637"
"0","Impact","1685"
"0","Impact","1692"
"0","Impact","1721"
"0","Impact","1772"
"0","Impact","1787"
"0","Impact","1796"
"0","Impact","1823"
